"B1R1,C,2","B1R2,C,2","B1R4,C,3","B1R5,C,3","B1R6,C,1","B1R7,C,1","B1R8,C,1","B1R9,C,1","B7R1AK2,N,2,0","B7R1AK3,N,2,0","B7R1AK4,N,2,0","B7R1AK5,N,2,0","FILLER_ID,C,3","REC_TYPE,C,1"
11,01,010,001,2,2,1,1,0,0,0,0,000,6
11,01,010,002,2,1,1,1,0,0,0,0,000,6
11,01,010,003,2,1,1,1,0,0,0,0,000,6
11,01,010,004,2,2,1,1,0,1,0,1,000,6
11,01,010,005,2,2,1,1,0,2,0,2,000,6
11,01,010,006,2,1,1,1,0,1,0,1,000,6
11,01,020,001,2,2,1,2,0,0,0,0,000,6
11,01,020,002,2,2,1,2,0,0,0,0,000,6
11,01,020,003,2,2,1,2,0,0,0,0,000,6
11,01,020,004,1,2,1,2,0,2,0,2,000,6
11,01,020,005,1,2,1,3,0,0,0,0,000,6
11,01,020,006,2,2,1,2,0,0,0,0,000,6
11,01,020,007,2,2,1,2,0,0,0,0,000,6
11,01,020,008,2,2,1,2,0,0,0,0,000,6
11,01,020,009,2,2,1,2,0,0,0,0,000,6
11,01,020,010,2,2,1,2,0,0,0,0,000,6
11,01,020,011,2,2,1,2,0,0,0,0,000,6
11,01,020,012,2,2,1,2,0,0,0,0,000,6
11,01,020,013,2,2,1,2,0,0,0,0,000,6
11,01,020,014,2,2,1,2,0,0,0,0,000,6
11,01,020,015,2,2,1,2,0,0,0,0,000,6
11,01,020,016,2,2,1,3,0,0,0,0,000,6
11,01,020,017,2,2,1,3,0,0,0,0,000,6
11,01,030,001,2,1,1,2,0,0,0,0,000,6
11,01,030,002,2,1,1,1,0,0,0,0,000,6
11,01,030,003,2,1,1,1,0,0,0,0,000,6
11,01,030,004,2,1,1,2,0,0,0,0,000,6
11,01,030,005,2,1,1,1,0,0,0,0,000,6
11,01,030,006,2,1,1,2,0,0,0,0,000,6
11,01,030,007,2,1,1,2,0,1,0,1,000,6
11,01,030,008,2,1,1,2,0,0,0,0,000,6
11,01,030,009,2,1,1,2,0,0,0,0,000,6
11,01,030,010,2,1,1,2,0,0,0,0,000,6
11,01,030,011,2,1,1,2,0,0,0,0,000,6
11,01,030,012,2,1,1,2,0,0,0,0,000,6
11,01,030,013,2,1,1,1,0,0,0,0,000,6
11,01,030,014,2,1,1,1,0,1,0,1,000,6
11,01,030,015,2,1,1,2,0,1,0,1,000,6
11,01,030,016,2,1,1,1,0,0,0,0,000,6
11,01,030,017,2,1,1,2,0,0,0,0,000,6
11,01,030,018,2,1,1,2,0,0,0,0,000,6
11,01,030,019,2,1,1,2,0,1,0,1,000,6
11,01,030,020,1,1,1,3,0,1,0,1,000,6
11,01,030,021,2,1,1,2,0,0,0,0,000,6
11,01,030,022,2,1,1,2,0,0,0,0,000,6
11,01,030,023,2,1,1,1,0,0,0,0,000,6
11,01,030,024,2,1,1,1,0,0,0,0,000,6
11,01,030,025,2,1,1,1,0,0,0,0,000,6
11,01,030,026,2,1,1,1,0,0,0,0,000,6
11,01,030,027,2,1,1,1,0,0,0,0,000,6
11,01,030,028,2,1,1,2,0,0,0,0,000,6
11,01,030,029,2,1,1,2,0,1,0,1,000,6
11,01,030,030,2,1,1,1,0,0,0,0,000,6
11,01,030,031,2,1,1,1,0,0,0,0,000,6
11,01,030,032,2,1,1,2,0,0,0,0,000,6
11,01,030,033,2,1,1,2,0,0,0,0,000,6
11,01,030,034,2,1,1,3,0,0,0,0,000,6
11,01,030,035,2,1,1,2,0,0,0,0,000,6
11,01,030,036,2,1,1,1,0,0,0,0,000,6
11,01,030,037,2,1,1,2,0,0,0,0,000,6
11,01,030,038,2,1,1,2,0,0,0,0,000,6
11,01,030,039,2,1,1,2,0,0,0,0,000,6
11,01,030,040,2,1,1,2,0,0,0,0,000,6
11,01,030,041,2,1,1,2,0,0,0,0,000,6
11,01,030,042,2,1,1,2,0,0,0,0,000,6
11,01,030,043,2,1,1,2,0,0,0,0,000,6
11,01,030,044,2,1,1,1,0,0,0,0,000,6
11,01,030,045,2,1,1,2,0,0,0,0,000,6
11,01,030,046,2,1,1,1,0,0,0,0,000,6
11,01,030,047,2,1,1,2,0,0,0,0,000,6
11,01,030,048,2,1,1,1,0,0,0,0,000,6
11,01,030,049,2,1,1,1,0,0,0,0,000,6
11,01,030,050,2,1,1,1,0,0,0,0,000,6
11,01,030,051,2,1,1,2,0,0,0,0,000,6
11,01,030,052,2,1,1,2,0,0,0,0,000,6
11,01,030,053,2,1,1,1,0,0,0,0,000,6
11,01,030,054,2,1,1,2,0,0,0,0,000,6
11,01,030,055,2,1,1,1,0,0,0,0,000,6
11,01,030,056,2,1,1,2,0,0,0,0,000,6
11,01,030,057,2,1,1,2,0,0,0,0,000,6
11,01,040,001,2,2,1,1,0,0,0,0,000,6
11,01,040,002,2,4,1,2,0,0,0,0,000,6
11,01,040,003,2,2,1,1,0,0,0,0,000,6
11,01,040,004,2,2,1,2,0,0,0,0,000,6
11,01,040,005,2,2,1,2,0,0,0,0,000,6
11,01,040,006,2,2,1,2,0,0,0,0,000,6
11,01,040,007,2,2,1,2,0,0,0,0,000,6
11,01,040,008,2,2,1,2,0,0,0,0,000,6
11,01,040,009,2,4,1,1,0,0,0,0,000,6
11,01,040,010,2,4,1,2,0,1,0,1,000,6
11,01,040,011,2,4,1,1,0,0,0,0,000,6
11,01,040,012,2,2,1,2,0,0,0,0,000,6
11,01,040,013,2,2,1,1,0,0,0,0,000,6
11,01,040,014,2,2,1,1,0,0,0,0,000,6
11,01,040,015,2,2,1,2,0,0,0,0,000,6
11,01,040,016,2,2,1,1,0,0,0,0,000,6
11,01,040,017,2,2,1,1,0,0,0,0,000,6
11,01,040,018,2,4,1,2,0,0,0,0,000,6
11,01,040,019,2,4,1,2,0,0,0,0,000,6
11,01,040,020,2,4,1,1,0,0,0,0,000,6
11,01,040,021,2,2,1,3,0,0,0,0,000,6
11,01,040,022,2,2,1,2,0,0,0,0,000,6
11,01,040,023,2,2,1,2,0,0,0,0,000,6
11,01,040,024,2,2,1,1,0,0,0,0,000,6
11,01,040,025,2,2,1,2,0,0,0,0,000,6
11,01,040,026,2,2,1,1,0,0,0,0,000,6
11,01,040,027,2,2,1,3,0,0,0,0,000,6
11,01,040,028,2,2,1,3,0,1,0,1,000,6
11,01,040,029,2,2,1,2,0,0,0,0,000,6
11,01,040,030,2,2,1,2,0,0,0,0,000,6
11,01,040,031,2,2,1,1,0,0,0,0,000,6
11,01,040,032,2,2,1,1,0,0,0,0,000,6
11,01,040,033,2,2,1,2,0,0,0,0,000,6
11,01,040,034,2,4,1,2,0,0,0,0,000,6
11,01,040,035,2,2,1,3,0,0,0,0,000,6
11,01,040,036,2,2,1,2,0,0,0,0,000,6
11,01,040,037,2,4,1,2,0,0,0,0,000,6
11,01,040,038,2,2,1,2,0,0,0,0,000,6
11,01,040,039,2,2,1,3,0,0,0,0,000,6
11,01,040,040,2,2,1,2,0,0,0,0,000,6
11,01,040,041,2,2,1,2,0,0,0,0,000,6
11,01,040,042,2,2,2,2,0,0,0,0,000,6
11,01,040,043,2,2,1,1,0,0,0,0,000,6
11,01,040,044,2,4,1,2,0,0,0,0,000,6
11,01,040,045,2,2,1,2,0,0,0,0,000,6
11,01,040,046,2,2,1,2,0,0,0,0,000,6
11,01,040,047,2,2,1,1,0,0,0,0,000,6
11,01,040,048,2,2,1,2,0,0,0,0,000,6
11,01,040,049,2,2,1,2,0,0,0,0,000,6
11,01,040,050,2,2,1,2,0,0,0,0,000,6
11,01,040,051,2,2,1,1,0,0,0,0,000,6
11,01,040,052,2,2,1,2,0,0,0,0,000,6
11,01,040,053,2,2,1,2,0,0,0,0,000,6
11,01,040,054,2,2,1,2,0,0,0,0,000,6
11,01,040,055,2,2,1,2,0,0,0,0,000,6
11,01,040,056,2,2,1,2,0,0,0,0,000,6
11,01,040,057,2,2,1,1,0,0,0,0,000,6
11,01,040,058,2,2,1,2,0,0,0,0,000,6
11,01,050,001,2,2,1,1,0,0,0,0,000,6
11,01,050,002,2,2,1,1,0,0,0,0,000,6
11,01,050,003,2,2,1,1,0,0,0,0,000,6
11,01,050,004,2,2,1,1,0,0,0,0,000,6
11,01,050,005,2,2,1,1,0,0,0,0,000,6
11,01,050,006,2,2,1,1,0,0,0,0,000,6
11,01,050,007,2,2,1,1,0,0,0,0,000,6
11,01,050,008,2,2,1,1,0,0,0,0,000,6
11,01,050,009,2,2,1,1,0,0,0,0,000,6
11,01,050,010,2,2,1,1,0,0,0,0,000,6
11,01,050,011,2,2,1,1,0,0,0,0,000,6
11,01,050,012,2,2,1,1,0,0,0,0,000,6
11,01,050,013,2,2,1,1,0,0,0,0,000,6
11,01,050,014,2,2,1,1,0,0,0,0,000,6
11,01,050,015,2,2,1,1,0,0,0,0,000,6
11,01,050,016,2,2,1,1,0,0,0,0,000,6
11,01,050,017,2,2,1,1,0,0,0,0,000,6
11,01,050,018,2,2,1,1,0,1,0,1,000,6
11,01,050,019,2,2,1,1,0,0,0,0,000,6
11,01,050,020,2,2,1,1,0,0,0,0,000,6
11,01,050,021,2,2,1,1,0,0,0,0,000,6
11,01,050,022,2,2,1,1,0,0,0,0,000,6
11,01,050,023,2,2,1,1,0,0,0,0,000,6
11,01,050,024,2,2,1,1,0,0,0,0,000,6
11,01,050,025,2,2,1,1,0,0,0,0,000,6
11,01,060,001,2,2,1,1,0,0,0,0,000,6
11,01,060,002,2,2,1,1,0,1,0,1,000,6
11,01,060,003,2,2,1,1,0,0,0,0,000,6
11,01,060,004,2,2,1,1,0,0,0,0,000,6
11,01,060,005,2,3,1,1,0,0,0,0,000,6
11,01,060,006,2,2,1,1,0,0,0,0,000,6
11,01,060,007,2,3,1,1,0,0,0,0,000,6
11,01,060,008,2,2,1,1,0,0,0,0,000,6
11,01,060,009,2,3,1,1,0,0,0,0,000,6
11,01,060,010,2,3,1,1,0,0,0,0,000,6
11,01,060,011,2,2,1,1,0,0,0,0,000,6
11,01,060,012,2,2,1,1,0,0,0,0,000,6
11,01,060,013,2,2,1,1,0,0,0,0,000,6
11,01,060,014,2,2,1,1,0,0,0,0,000,6
11,01,060,015,2,2,1,1,0,0,0,0,000,6
11,01,060,016,2,2,1,1,0,0,0,0,000,6
11,01,060,017,2,2,1,1,0,0,0,0,000,6
11,01,060,018,2,2,1,1,0,0,0,0,000,6
11,01,060,019,2,2,1,1,0,0,0,0,000,6
11,01,060,020,2,2,1,1,0,0,0,0,000,6
11,01,060,021,2,2,1,1,0,0,0,0,000,6
11,01,060,022,2,2,1,1,0,0,0,0,000,6
11,01,070,001,2,2,1,2,0,0,0,0,000,6
11,01,070,002,2,2,1,2,0,0,0,0,000,6
11,01,070,003,2,2,2,2,0,0,0,0,000,6
11,01,070,004,2,2,2,3,1,0,1,0,000,6
11,01,070,005,2,2,1,2,0,0,0,0,000,6
11,01,070,006,2,2,2,2,0,0,0,0,000,6
11,01,070,007,2,2,1,2,0,0,0,0,000,6
11,01,070,008,2,2,1,2,0,0,0,0,000,6
11,01,070,009,2,2,1,2,0,0,0,0,000,6
11,01,070,010,2,2,1,2,0,0,0,0,000,6
11,01,070,011,2,2,1,2,0,0,0,0,000,6
11,01,070,012,2,2,1,2,0,0,0,0,000,6
11,01,070,013,2,2,1,2,0,0,0,0,000,6
11,01,070,014,2,2,1,2,0,0,0,0,000,6
11,01,070,015,2,2,1,2,0,0,0,0,000,6
11,01,070,016,2,2,1,2,0,0,0,0,000,6
11,01,070,017,2,2,1,3,0,0,0,0,000,6
11,01,070,018,2,2,1,2,1,0,1,0,000,6
11,01,070,019,2,2,1,3,0,0,0,0,000,6
11,01,070,020,2,2,1,3,0,0,0,0,000,6
11,01,070,021,2,2,1,2,0,0,0,0,000,6
11,01,070,022,2,2,1,2,0,0,0,0,000,6
11,01,070,023,2,2,1,2,0,0,0,0,000,6
11,01,070,024,2,2,1,3,0,0,0,0,000,6
11,01,080,001,2,2,1,2,0,0,0,0,000,6
11,01,080,002,2,2,1,2,0,0,0,0,000,6
11,01,080,003,2,2,1,2,0,0,0,0,000,6
11,01,080,004,2,2,1,3,0,0,0,0,000,6
11,01,080,005,2,2,1,3,0,0,0,0,000,6
11,01,080,006,2,2,1,3,0,0,0,0,000,6
11,01,080,007,2,2,1,3,0,1,0,1,000,6
11,01,080,008,2,2,1,3,0,0,0,0,000,6
